Total amount of costs for this ciruit: 23060.
Total amount of costs for this ciruit: 8296.
Total amount of costs for this ciruit: 5810.
Total amount of costs for this ciruit: 23396.
Total amount of costs for this ciruit: 21282.
Total amount of costs for this ciruit: 31580.
Total amount of costs for this ciruit: 17668.
Total amount of costs for this ciruit: 4302.
Total amount of costs for this ciruit: 11616.
Total amount of costs for this ciruit: 9754.
Total amount of costs for this ciruit: 11014.
Total amount of costs for this ciruit: 17962.
Total amount of costs for this ciruit: 15866.
Total amount of costs for this ciruit: 8566.
Total amount of costs for this ciruit: 7370.
Total amount of costs for this ciruit: 12796.
Total amount of costs for this ciruit: 4008.
